source_user,recommended_user,score
Sina_Evaz,rajavi_m1,10
mehradAshtiani,Haaniikh,5
mehradAshtiani,______pew_pew,5
mehradAshtiani,capttainsarah,3
capttainsarah,Mmd_hosseein,4
capttainsarah,temejoon,3
capttainsarah,IlkhanuS,3
alinaghi2018,RenzoGraciani,4
alinaghi2018,VOAfarsi,3
khoshnevisnaser,Tavaana,10
golakouo,Exceptorant,4
golakouo,foodlazem,4
golakouo,Free_Woman_R,3
jog29h5UJAbGjTd,EbneHava,10
jog29h5UJAbGjTd,Golzarfar,3
8o45daqiqe,The_Pesar,6
8o45daqiqe,montazer_zohur,4
8o45daqiqe,roushenas,3
8o45daqiqe,rezashamsa,3
Yaghoub_313,ARKheirollahi,3
Yaghoub_313,SsPadam3,3
Yaghoub_313,lieaEbony,3
emadeddinbaghi,abdolah_abdi,10
emadeddinbaghi,SamiraGharaei,10
rahiiil_97,yas4748,4
rahiiil_97,Oscar_pilot313,3
alwayshasbeen9,khokhlakof,10
alwayshasbeen9,RahaBahreini,3
alwayshasbeen9,IranIntl,3
khokhlakof,Wander1Mystical,4
Erfan57308693,dr_oncherama,3
Erfan57308693,milad_stry,3
Erfan57308693,reza_twt01,3
reza_twt01,japanstudies_ir,4
reza_twt01,Ryogo_Urata,4
reza_twt01,portakani,3
reza_twt01,_Mahdiyar313,3
faezehabdipour,MaryamMoqaddam,11
faezehabdipour,vanitarmart,6
faezehabdipour,shokrani_maryam,4
faezehabdipour,PejmanMousavi,3
MaryamMoqaddam,shokrani_maryam,5
MaryamMoqaddam,vanitarmart,5
MaryamMoqaddam,PejmanMousavi,4
MaryamMoqaddam,hnamakdoost,4
_n4aso_,AliKhanjani18,4
_n4aso_,ardin_rad,3
Mortezashimpil,girlwhoisnotdaf,7
Mortezashimpil,MilanMelika,7
Mortezashimpil,boredd__girll,3
HamedHadidian,MMoridnejad,10
ugly_nature,melomaniac420,10
zmrym_5000,s_mdr64,5
zmrym_5000,AfsanhKafy2032,5
zmrym_5000,Khorschid_T,3
mayar_hanan,daichopanazmo,10
bibi_pik,missmisha80,10
RobotN_1,m_pooyafard,3
arad75111,JhnmyMlkh,10
arad75111,dragonerdx,10
arad75111,shahrashob24,5
arad75111,ayhhhan,5
JhnmyMlkh,dragonerdx,10
JhnmyMlkh,ayhhhan,8
km6071,reihan_msv,10
aniya__1998,Philip_Morris_b,5
aniya__1998,ali46damashi,5
aniya__1998,ayda52882923423,4
aniya__1998,shooresh1374,3
icrusty7,IamPROOF13,10
paraas2,Aliparvar636797,14
paraas2,MrsBirmingham1,5
paraas2,paraas2,3
Aliparvar636797,MrsBirmingham1,6
Aliparvar636797,na_neveshte,3
Mohammadez79,azinkw,10
IlaSram2000_2,Fahimeh34395106,6
IlaSram2000_2,mammadeh,4
Leyla__Bahar,safarazlilipoot,4
Leyla__Bahar,BenK40132107,4
Leyla__Bahar,AsbeAtash45,3
safarazlilipoot,Rayabakhtyari,5
safarazlilipoot,elia12420,5
safarazlilipoot,Anvarsadat57,3
me888b_8,Alijalili777,8
zucchinimood,97SARCHIVES,10
cocaylin,hnrvrmaede,5
cocaylin,kikishey,5
Neuronal_Net,Mambouol,10
Neuronal_Net,russel_locked,4
Neuronal_Net,ehsanmansuri,3
Neuronal_Net,safarnakk,3
Mambouol,ehsanmansuri,6
Mambouol,russel_locked,4
Mambouol,fresh_sadegh,3
Avishan70,Zanko02,7
Avishan70,Negariiam,4
Avishan70,mratromister,3
nazghnazgh,sina_s910,10
shidis96,Sanjaribaf,10
Jauhar333,Dr__Bushra,10
hajali2005,_HellBoy___,10
hajali2005,mohsenmasih1989,5
hajali2005,whitetorneh,3
nary_gess,Aidaa_direction,10
Sayedfa73517156,Munisa_Mubariz_,10
arya_lon89,Mori_11228,5
arya_lon89,hardseltzerr,4
arya_lon89,mosh_tabaa,4
hardseltzerr,PureSoul_isback,3
devica1709,Auroraroraro,10
Amin_greeny,normahta,12
Amin_greeny,Alirezahossien4,5
normahta,Amin_greeny,7
normahta,normahta,5
normahta,yasin77j,4
normahta,Soroosh1997,3
Mojacks2000,AhmadLiaee,8
Mojacks2000,Pedare_jannati,6
Mojacks2000,Mojacks2000,4
vglh2023,freedoom2021,3
marsa1726,rezashamsa,4
marsa1726,marsa1726,3
marsa1726,MTahaghoghi,3
Mehmet72877335,Asclepiuuus,5
Mehmet72877335,IsraelPersian,4
Asclepiuuus,IsraelPersian,9
Asclepiuuus,yzarka,4
Asclepiuuus,alipoursoltan,3
FarahLuqma54694,KaliwalYam,10
abnan1022,Neginnn_Z,6
abnan1022,razmperspolis,4
abnan1022,Amirmahdyi0,3
abnan1022,PATRIOT_LOR,3
abnan1022,Cp_jack_sparrow,3
abnan1022,Samanbavaria,3
razmperspolis,PATRIOT_LOR,7
razmperspolis,sardargom887598,4
razmperspolis,MaralBahreman,3
razmperspolis,burningsun_83,3
tyhbgvfyb,rezaivxx__,14
tyhbgvfyb,heliiay,3
rezaivxx__,heliiay,3
mojtabahp141,JBehieh,3
mojtabahp141,pouriazeraati,3
ln6RkGINR7TZzlF,cooffeinn,4
ln6RkGINR7TZzlF,charlichapleen,4
ln6RkGINR7TZzlF,capitanjimbo,4
ln6RkGINR7TZzlF,nnnaasiim,3
ln6RkGINR7TZzlF,Bettrriissaa,3
k_maziar,Martastit,3
afshari_aku,hosseindehbashi,7
afshari_aku,sahraakarimi,4
afshari_aku,alirad09643427,3
ayalchi,Golii81,4
ayalchi,DaniEnayat,4
ayalchi,_maah_banoo_,4
_maah_banoo_,Haj_Kamall,3
abr22461,lsyny72203848,7
abr22461,mhs_a71,3
jannatkhah_ir,_Mahdiyar313,4
jannatkhah_ir,sina_mim,3
HGMaqsoudi,Khamenei_fa,5
HGMaqsoudi,IsraelPersian,4
hachkakorosh,HGMaqsoudi,3
taeb,HajyKndry,10
taeb,k_maziar,6
taeb,haj_mokhtar1,4
HajyKndry,haj_mokhtar1,7
HajyKndry,k_maziar,3
nginwu,u3fpyghmi,6
nginwu,rezaivxx__,5
milad_atoof,meghdad313pm,10
Qasim42993589,IsraelPersian,10
Qasim42993589,yzarka,5
Qasim42993589,visegrad24,3
P_promise13,narges95662302,4
P_promise13,bellapiccolajk7,4
P_promise13,niniiswatching2,4
bellapiccolajk7,niniiswatching2,10
DanaieKol,Shobeir76,10
DanaieKol,dingoola,4
DanaieKol,HegeI_javan,3
DanaieKol,sheedpa,3
Shobeir76,dingoola,5
Shobeir76,sheedpa,3
Shobeir76,HegeI_javan,3
SayedAkbar9950,alkalima_,10
FmnBgn,FanpageYaspah,4
FmnBgn,MaximReza3,4
HosseinManbach3,Alighazizade,10
HosseinManbach3,IranIntl,10
Alighazizade,IranIntl,10
ihtishamalisha,AliMuhammad_fan,10
laleh5445,13544rLaleh,10
laleh5445,mhr_ghorbani,10
13544rLaleh,mhr_ghorbani,10
_iamjeonra0n,Zarrystylik251,3
_iamjeonra0n,seokjinshine7,3
zilhusmain,itsattiya,7
zilhusmain,uzma6688,3
Mahtaarsteh82,sadrabackup,5
Mahtaarsteh82,SMscorpionqueen,5
Mahtaarsteh82,yazahra98725062,3
Mahtaarsteh82,_shahrivariam_,3
najvaye,kurdtoday1400,5
najvaye,nazgol9797,4
swet4133,Imrankhan178891,7
swet4133,rishi1341986,3
dadgar_hadi,gunduzbeyo1,10
gunduzbeyo1,milad_dokhanchi,3
ADjavadi,frying_oil,3
ADjavadi,GanjiAkbar,3
