source,target,weight
shirinasal_,Sareqkhyabani,1
Rioona_1991_,thebabak1,1
omidam_abani,Tasnimnews_Fa,1
deadmozby,r_banoo,1
villette_bronte,Armandodvegas,1
avenir_2023,visegrad24,2
YasiPatriot,soheili84,1
Arimi117,LOUIESTREAM,1
babanoo_,mammadisgirl,1
MohammadKh66777,Parpanchi,1
Avayiiii,Morningstar_prl,1
salomeniche,sydmorteza_mir,1
baharroon,hnktmrfs_00,1
yurgunam,frrrrnz,1
baba_kuchik,pouriazeraati,1
AHAM16011355,shayan_shahnazi,1
life_woman_lib,TafianMehrnoosh,1
mona_kargar,Tavaana,1
poyajavan,Give_me_dead,1
Lilium38710987,V_Mehdi10,1
MechPy,vernazanenghad,1
havanirooz,lieaEbony,1
HiwaTube,Arad60292050,1
sti341,smile_ot8,5
zahmat_kesh,dltachist,1
malij69,Mohamad78madani,1
Zeinab_r69,naamehrban,1
miwaxox,iiichiggo,1
Aria76957794,zizinanigooloo,1
Bahmanasadi31,Maryam_Rajavi_P,2
TheNarrgol,IranianForum,1
WasntThereToSee,DrowsyNims,1
moon_at_apogee,Violetprisl,1
soodijoon,bacheh_seyyed,1
BagimsizGuneyAz,alireza_monadi_,1
Armanem02,HumansNoContext,1
roozhiina,roozhiina,1
pocohantes2021,SHAYA9000,1
ASyzdhm,Karton_KHaab,1
Jalilrasoule110,arifrahmanii,1
nikola_fesla,intothedark75,1
TILBANNNN,koosgije,1
Mohamma49014129,2457_fgk,1
papartook,lovlymaryami,1
fariba312,bbcpersian,1
aghdasjoon1360,siiiiamak,1
unkbboy,RealMazi,1
Amir59717159,farzanehfelan,1
dolceeeviiita,PahlaviReza,1
mrzban_tullid,Alighazizade,1
Mashgana,Ramin_212,1
fa_malekzadeh,taj_m2,1
roya_f135,Adel6674759498,1
amizAsdolla,IranIntl,2
Abonasrath2,FarsheedArizad,1
_feelbluealways,CyrusArash,1
freeiranlive,hadimehrane1,1
fc_pedi,parastesh06,1
theprimV,maroofian_n,1
ArianaOracle,MhmdRnany,1
khoshbin89,MahnazShirali,1
adel_edalat,LightofRev,1
samifarida22,DaRadioAzadi,1
fatmederazgisu,zeinabhoseiini,1
deadlyllife,imnameisrojin,1
Sraa0_0,m0hadesed,1
Faraneh54546765,AminehAbbasi,1
Its_Maybe_Abbas,pinkydinkyd00o,1
itsmeowely,agha_rashti2,1
_mim_alef_1998_,_Mahdiyar313,3
callmedoci,MasihDigital,1
zhra41070857628,seydehmim,1
Yousef_sz1996,Aburrrida901903,1
ahmad_yosefiii,AliDeveloop,1
bald_oldman1,yeomieol,1
semiramiss1982,Moj_krm,1
karbarali1,karbarali1,1
Mahooolak,DrFalange,1
FanTvd_baran,little_doctor3,1
arash_gh1992,Solid_Snake1990,1
MRastegar156935,pesarkhaaleh2,1
IranAzad54321,hosseindehbashi,1
lordavernus45,lordavernus45,1
HerawiMaaz77608,TakalYahya,1
WeKanon,Setareh7192,1
amirhsk128,sadat_s_25,1
SmaeeliA,AmirHossein171,1
AradParsi2,ayyarom,1
Falcon5475,iranvatanam97,1
agha_bakeri,agha_bakeri,4
alin_asr,sara_0s057,1
PlutoMluto,Mosishoonam,1
arashabouhamzeh,bahareh_dvp,1
rahi_vatan,naronari19,1
charllo02797927,Fans_raefipour,1
KingLion1781,KingLion1781,1
7KhateKharab,sulla80063198,2
Purplow_world,doctoreyavash,1
barabari19,Ariobarzan2023,1
Bahar68A,ASGHAR_70,2
shiim_shiim,Nadia4no1,1
banosuozan,MohamadSHAHnaam,1
nasrinraj,Baran27922,1
Ataollahsepahv4,hmhossein57,1
arda3910,m_pooyafard,1
SyedMubarakKaz5,sadafsheriff35,1
happymappy1991,AmirBahoush,1
tacharaperse,Abreshalvarpush,1
tiyyamm,Sir_Horan,1
_Absolutezero_0,Soshiiiant,1
mymoodoff,acoustic_man01,1
B_Elhaaam,ananasishere_,1
ahuramch69,Eghtedar313,1
Mrill17,DESERTSAMURAI69,1
ahmad_ms96,Tasnimnews_Fa,1
saminshokri4,caaanaaasn,1
PariaRad15,south____kid,1
hafezan64,seyedmomeni72,1
RezaKhanJafari1,Miladdehghan10,1
__kahe_,hossein_d15,1
mrZebelKhan,SAA_IRAN,1
AAshoori1,Rzkhm11133,1
hosniyekhanum,Zahra_lotf,2
Gekko171414,farzad_bayan,1
hamidsocial_,vahidfarid,1
AkhoondeMorde,AkhoondeMorde,5
Jigarorj,littlecurlly,1
iamnotnima,HomunculusRises,1
zendegidar_iran,nasrinbonyan,1
MahboobehRz,SAA_IRAN,1
misshana04,nemiiidunam,1
Mmd102137,Maryam_onjell,1
hamiid_reza,graygirll_,1
MiladGorgyn,sadeghZibakalam,1
KtaywnP,paraas2,1
SorooshShahria1,CensoredMen,1
hamid20842,alirezasayeh,1
hellenakbari,urfavhossein,1
Mahooolak,Chekchekou,1
mrsavanzhd,SamiraSammii,1
Leilii_R,itsepanta,1
savinah68,Baghestani_Ali,1
ghadiricyrou,Rz_zangane,1
Mohsenjan_74,armollahoseini,1
HamtaOmidi,javanenghelaby,1
lhjfx1,Abooooooz,1
ava60o6o22,dokhtarmah66,1
DrYasHajii,ArefSokoot,1
Ahmad43390191,naserturkan,1
Bahareh_313,Bahareh_313,6
moriarti36932,moriarti36932,4
ulfat_adil22,noor_kochi,1
1mashghasem,HShamaghdari,1
18ZA28,fibonacci__seq,1
khankha41826828,khuram_mirzaa,1
mzoland,HyrcaniHRM,1
zahra_zahedi60,r_tashakoriiii,1
MehdiXr,SharafiMeysam,1
Azad_gomnam,IsraelPersian,1
ibnabbas75,reza_twt01,1
maaahatr,Zaherparast,1
unknownuserWLF,BabyfaceFz,1
Bahman_st,clover_am2,1
mjidrhnvrd,545_Tungsten,1
zero_m_e,SLP_2020,1
thegreatesthich,khoroshekarafs,1
cecil_sa,Rebessaa,1
sambitsum,Emijaop,1
nastaran_aa,aliz_abt,1
thesakoora,thesakoora,2
headpho43629962,babamehdii,1
amiiiiiru,T2Sadi,1
LoeyPark2022,HEIROFSEKAI,1
mGeramophonev,mahan823,1
mobarez_nastooh,Khamenei_fa,1
Amooamirkhan,Mehrnoosh,2
b_montazer,omidasgariii,1
ER_eton,mukb181,1
iranshahr2500,HVerkiany,1
majidna50839765,nazanin_amini63,1
Sadi_boy_,khodeshmR,1
paparak6,LiberalArtist0,1
iranianpappiii3,iranianpappiii3,14
alirezodh,s_yas_1,1
hicheh80,mahdi_anjom,1
abr22461,mhs_a71,1
ashook00,Charchism,1
NahzatPanjshiri,NahzatPanjshiri,1
silencevoices_a,bikare2alam1,1
khanoomeaghaye,presidentAli13,1
hichtan_,msfenderski,1
maasahaa,roxx_rxn,1
Shaheen_pti_,ZarneshKhan5,1
sofu_ckinggood,hourIyhoroscope,1
Archi_Aphrodite,Sbztun,1
_sanartist_,closeeedfornow,1
tavakoliaann,Yldajulei,1
ElaheMoqadas,TheyCallMeNoise,1
mortadella123,AmirTaheri4,4
njahdi1,IrTimes,1
BanooLiii,HGouldian,1
qahreman_10,ye_bandeh_khoda,1
MrSinaa,baaarraaan,1
shexo205,m_a_h_s_a_98,1
jamshid_irani,JBehieh,1
artur1369,saat_vasl,1
CRetbatler,rezashiraziir,1
banooyeab,vakil_online,1
m3hfa,OkShbkhsh,1
m__msz,vasatgara,1
arsalanshu,beehnam,1
ayatkhoshnam8,a_alegry,1
this_is_naznin,smahmoud27,1
neo_pahlavism,merlin_a_h,1
bayanbabaeii,13544rLaleh,1
mahaa60856020,AliTM1986,1
onelili87,a_fall3,1
NaggingNightin1,SaiedM18,1
drcitalopram,E_Aria_N,1
m_rasool123,amber5_h,1
armancorner2,IDFFarsi,1
Mohsenjan_74,DavariAbdolreza,1
marzie_25,Nadia4no1,1
maasahaa,_yaci28,1
KimiaT9,iiichiggo,1
softwar49280761,FarsNews_Agency,1
samirad1382,Vazh_humanright,1
13mhs77,0Fa_ba0,1
goodarz81,DollarBlue3,1
Maziar51207807,heart_mekanik,1
Aylin_7373,zkbhrr,1
ariikazuka,llmaryami,1
Persiancookie,araaaad_,1
NoahBoy7693,Javanmardi75,1
Ho3ein__Mo3leh,zarinenaz,1
assult_branch,JBehieh,1
2May19611,2May19611,3
ArifNajafi,shamali_wal001,1
Parsa_kakooi,mry__mlk,1
sadrabackup,MahdyKalhor,1
Wavelengthening,MaximReza3,1
someoneishereme,futureemee,1
armancorner2,VOAfarsi,1
Farnud_F,callmemahdye,1
m__msz,reza_panahi2,1
HasanRo16697265,IsraelPersian,1
AmirAdli79,AlisDrinks,1
Sadi_boy_,wvwvezee,1
HndsmOwel,niloufaarr,1
aroosakkooky,m__soomi,1
Azadm2201011,ARDESHIR003,1
ets98368747,MohammadYn07000,1
amiralibehdadi,amiralibehdadi,1
mamazbaba,shahintahmaseb,1
heart_mekanik,Leo_ghoreishi,1
rastgar_p,sa_helam,1
LydaRad,IsraelPersian,1
7Metti,iiichiggo,1
Ziidan2022,Dokhtaresarhang,1
delvan_handmade,Hamin__Amin,1
Raha461Gh,samir1989sh,1
ufclov,__Injaneb96,1
L_Heela,1TVNewsAF,1
AMohammad_seyf,Minoora5,1
Hamideh6319,asemaaneh,1
MehrizadehBehn1,IranFardaAzad,1
vatanamiran67,Banooyebahary41,1
mp65648787,ambition_mm,3
6ooall,il6r_,1
agapeh37,E_Aria_N,1
jonatan_garret,Falconintwt,1
ggehhry2,RenzoGraciani,1
mirsaeedd,mirsaeedd,1
tehr46,MehranRajaabi,1
imhateyou4,mewcat0,1
artt_miss,toghyan_021,1
Enghellabii,hMCxeEf3CmZsvld,1
yalda_Y_A_L_D_A,Mn59686474,1
femme1146,esmaeils1169,1
nazanin7,hosseindehbashi,1
shwalyh_t,IranIntl,1
Mahnoor2662,farrihashmi,1
callme_saboll,pirekhaaraabaat,1
mhde_jln,mhpoyanfar,1
navidafkari1398,rvk123,1
shahin_1373_,SaiedehSaideh59,1
MHeidari5597,porzady,1
FtimA19791,presidentAli13,1
pharhad7z,Rouin13,1
purple_XRey,002Farzad,1
Ali51878450,kayvanabbassi,1
fatemenajafi10,Marami444,1
Mehrnoosh,yarrahimehdi,1
Ur__Guy,tuneconnaispas0,1
jamal48715051,dw_persian,1
SAVAKIAMII,Billghasab,1
mo_mo_IRI,IsraelPersian,1
elnisa_eli,elnisa_eli,1
hosseyn1988,MaryamMoqaddam,1
_asedm,Roteill,1
piro0o0oz,Me_Unstoppable2,1
__thetrap,J1nne,1
Hadi44413,Wiishii1,1
Mahdibg98,kooti_kooti,1
60tam40,paberahne2,1
SoderanSouza,anitablian,1
o0Eurus0o,sneakysajad_,1
AshariAstani,Entekhab_News,1
FTMhprr,FTMhprr,3
saeedgld1,sayeh6699,1
shemr_hastam,shemr_hastam,1
iitsmamad,Petros_Moanas,1
Amir_Jahaan,sayeh6699,1
AtefeZeynali,23dochar,1
hoomaan1981,gardenrobinn,1
ZartoshtBoZorG,IrajRezazadegan,1
drdrhh,mitooolixx,1
AfghanZalmi125,IDFFarsi,1
Damoon4u,NaderSoltanpour,1
HHikmat771,ZawiaNews,1
papillon197t,Qa__ir,1
Sadeghlim,ahmaghtarazto,1
Sunrusha,Ramin_212,1
masteryi1997,_aboutMonarch,1
Passargad20_20,kkoohhyyaarr,1
Poshtiban6236,_mohammad315_ir,1
peace_dream1400,ghalamfarsa,1
raheali01,alirezarasouly,1
fatemehfso,Hesam2662,1
ShF5705,ShF5705,2
mishakerz,caissesdegreve,1
Tlacatecuhtlian,Drlido2,1
punkiiip,closeeedfornow,1
rezaahmadee1340,Maryam_Rajavi_P,9
im3no0ne,Azimuth1400,1
negarj1378,PahlaviReza,1
PahlaviReza,PahlaviReza,1
