source,target,weight
m961216,s_sadat_sr1464,1
The_Mr_Fox_2022,Fsociety001_,1
ERS8118,XDeppBoy021,1
mahnoosh7729798,mahnoosh7729798,1
aliemamiofnyc,maroofian_n,1
HarleyBili,daryo67111018,1
vacantperson3,theedrisishouse,1
midnightschild_,agha_bawa,1
ithinkineeddie,moltisantiali,1
kobi404,saate11shab,1
MMOHAJER14,narges_babaei,1
warkharin,noo_boddyyy,1
Amirmohsen6365,m_T_Darestani57,1
hich_ja,Hnnr_y,1
ram_dara_ram,r_banoo,1
EmilyAmraee,NimaNamdari2,1
ColdButOld,ColdButOld,1
ShakhsHaji,heyitsjavvviiid,1
harfe_hesab_,Amir60118403,1
N1n0_4cc4,__Nobiggie__,1
Nyatasenpai,shebhekahoo,1
AbdullahTasal6,AFIntlBrk,1
ZTEAM1401,Roorshak,1
robinshir,AdelTalebi,1
HaMidZa07711941,sohofim_,1
Farid1242040519,kazimoto3501,1
mohammad_hrk,ehsanbk20,1
Zahragni,sangtarash_azad,2
aminabrari2013,alisafavi1995,1
ignaslog,AdelTalebi,1
ifrhdm,amomahson,1
zeddemoftkhor,Mohamadvalii,1
alishamsi7878,Asmakarami,1
D_activ,dezfuli_boy,1
mazloom1991,sara_kaaf,1
minSophie12,darcy_army7,1
fanofcatz,edkemper2991,1
Farnud_F,karma2098,1
Sogolismenow,narges_babaei,1
mehdi93518334,photographer961,1
fnikjoo,Entekhab_News,1
mimico2463,mimico2463,1
aliReza85320710,freedoublelife,1
BeheshtiMahdi,TurkishIndy,1
Tabassomslv28,Amiirganji,1
thesheystark,professor_1376,1
TripleEng90,admiral1320,1
amir04h,maybevahm,1
HoseinnHN,heokhe_,1
moshtaagh1,whitetorneh,2
restart77772025,chistam77,1
shahab_twt,alibahaadori,1
Farbodahmadi880,Me_Unstoppable2,1
Mohamma87371886,hajnader313,1
Dr_ziro06,redddsparrow,1
Secman2020,AdelTalebi,1
farzad105,thepizzaacat,1
ircfspace,DotPixisShirei,1
Midnightkhanoom,MohmadRamzane,1
yassssiiiiiii,yassssiiiiiii,1
camelcowtiger,daneshgary,1
Kkkiarashhh,Rchii_joon,1
PherenikeI,hami_huzz,1
ElaheBoghrat,DVATW,1
Taban230212,AdrianAsborne,1
Agnostic_2002,Freydoon_mace,1
mzarnegar1,syjebraily,1
cyrus_great56,DCCCIX,1
YaarDabestaani,RealPersianGod,1
saeedsiary,shararehtalaeii,1
ma_brzgr,sogol935950,1
MojdehN5562,moh_heidari,1
Jean_Valjean54,1smnehh,1
gloobchi,theorangenemo94,1
Adel75105572,meMajda,1
WajihaAkhtar3,haidersaeedpti,1
walkerpahh,_ramsillas_,1
massimomorattti,Sh_tanha_,1
tymowthy,yume37569791,1
hamidhrm66,haminsami,1
sinaarahbar,themarjn,1
kashkoolian,Kasrakarimi3,1
ChefSam2000,pawreaa,1
persiansamix,ManotoNews,1
zahraaaf1393,MahdiAkbari72,1
mahtab_1999,Haniye_b_n,1
vivassayin,zynrann,1
ThisIsAlphaOne,geoffreyhinton,1
N0o0ora214,sibegolab95,1
LakPosht10,YaarDabestaani,1
RezaArzeh1,MariaMoradi4,1
felfelsiahh2,TheOldRick,1
Morghe_atash,Drmousavi1,1
Babak20909990,PaygahMatbuAti,1
amirafrasiab,Daenerys73,1
ariobar2500,JM_pensylvani,1
Shayesteh_Bita,ketabshah3,1
kosar_ketabdar,narges_babaei,1
reza_nj94,lady_hastam,1
mohsen30544879,mokhbache,2
raraibpardis,raraibpardis,1
rasolsk1,IsraelPersian,1
sicky00guy,alireza_shn27,1
hamonamirr,mobinaa1111,1
liltarantula_,_moonchiildd_,1
saeedbrr,saeedbrr,1
_masious,Atorpat,2
MdrBruce,binam007,1
amirhosmhmdi,i_am_leili,1
247_RM,indigo7mono,1
ghasem_bodi,humanrights_az,1
shahabnasiri66,ardavan_sijani,1
yakuzauser,mogharebati,1
_Mahdiyar313,Raefipour_A,1
mohammad148142,danii59590,2
AnsariMajd,Mjavad059,1
TheMaskIWear1,ladyyasy,1
Manyekjaghiam1,Asalshmss,1
ringdingd000ng,whatahoea,1
Ali42879780Ali,shabnamniki,1
dariushadim,Elyas_Cile,1
KMasomeh72831,Nadia4no1,1
khers_abi,Elaheh13800820,1
KavehFaryadgar,IsraelPersian,1
madam_saara,Jaber_Velayat3,1
ShlwghHsyn90049,RADOCLUB,1
kaviani_aria,purgat,1
afriuh890,chizbergeramkoo,1
eli_9391,364Venus,1
aria20002024741,ayyarom,1
khd2817,farbodebrahimi5,1
kasra_sun,kasra_sun,1
Kolsum_Azizi,Manddddiiiirrrr,1
52Hz_1401,Reza24486,1
kopleader_7784,whereismypoos,1
RGhadiany,PahlaviReza,1
ElaheBoghrat,PahlaviReza,2
AaDa54146355,M_gorji2,1
amazingdogsnft,Aramoon13,1
PaiandeBadIran,iran_vdt,1
ParsaLuna,dinanukht,1
GeneralAtabak,fatemehheydari8,1
BojackRealMe,sinforreal,1
majahilioun,Mardouk0010,1
CyrusTroops,ir_rezaee,1
drlecter00,Jvd_sh,1
llsepll,MahtabFlh,1
ShiraziInAU,Persuasion_elli,1
karmapo16583838,sonofniche,1
mehrdadtargholi,khanomm7,1
Meti2098,_imphty,1
sajidalikhanpti,KhanMobeena,1
mhmdsh64,BadeMokhalef,1
setarehsamami,ya3er_ap,1
Mehranaa9,khodeyci,1
DokhtareMard0m,moiein,1
moali6ix,rozhaannaa,1
sangtarash_azad,Zahragni,1
shabizaaak,Peacock_45,1
Frshdfr,elmayaram,1
AshkanMom,Elephant_pa_c,1
realfuckingnig4,moaming22,1
Bahari1799065,SamanthaIrani,1
aghayehesam,yacamanlk,1
ToBemBeguSaman,mhraiiin,1
mixedcods,hehmrf,1
Sina93798731,amirl0re,1
PishiLoverSevin,biza_for_ever,1
Lilipot_rose,nora83_ir,1
negar_bnz,shimballa,1
yerozkhobmiaad,_shadiiiii_,1
mehrnaziu,ShouldHaveCat,1
SmRr915,AmirPournasir,1
Khoderaamtin,Abidel777,1
enfejarc,Kaliwonn,1
iche666,tmejoinchat2,2
Bibaak007,ShiraziShaheen,1
Paryiiee,ManaaHastamm,1
ashena_goriz,AtEterntysGate,1
raminsszamani,hooraa_Egh,1
kevin_devils,S4N43B,1
SharifA19026667,mobeenkhan1231,1
Sanya21107341,army_iranbts,1
bluecrow111,anzalifestyle,2
vniwla,90nabish,1
faryade_daroon,hamdrezz,1
pahlavism149884,2Ubbe,1
Kave1991_h,melika______,1
Acebeing,theodorfinchh,1
amphiprionguepe,vahid__bahman,1
saba_khoi,AsharqNews,1
fatemeh_m_1421,Jamshidi_16,1
crissss_sh,basoshadid,1
SedAlex110,koohyar1964,1
soorkhpooost,miniliza_mon,1
kiAna_shekar,shekarbanoooo,1
zohreh_811,smile_ot8,1
hoesB4bros_,gdheiwkwln,1
joker_r71,Cowboypoem,1
StKildaa,amoo_ali92,1
Ap11u,its_1211,1
mahdi_miayad,yazdanparast313,1
idehazdamha,naderteyf,1
AbdulWahab50019,afghan_1000,1
Hadis_15,adropofsoul,1
sasan22901,602_ma,1
NeoRezM,HengawO,1
pourfazl,khanomzadehh,1
hachkakorosh,Mehr_mihan,1
mamadkeshani,beh96ram,1
hamid_khosh,JM_pensylvani,1
Gordafariid,HosseinDalirian,1
zrahastam,Amiirganji,1
hadish20_mio,Parhammohbbi,1
sasan_n74,pahroxpa,1
nicoxdelrey,irominab,1
YEKIazYEKI,YEKIazYEKI,1
Alireza_B1990,AtashiHamidreza,1
Yoosof_Abdar,Hadiskhani1387,1
DoooctorStrange,xoo_roos,1
_migh,Amammadhosein,1
mahooor_jan,___P___R___,1
kamandhastam,blackeyed66ja,1
hamonamirr,ERS8118,1
sepehr_raftari,MrAlihoseiny,2
7afsun8,ImMA8172,1
yazdania89,hamidreza1521,1
xenossheida,ahourasoheil,1
mahdigardner,imhiildam,1
Sinasview,mahdihajipour,1
S4293123Saray,IranianPlateau,1
drkafshdoozak2,Ft_Novt,1
Yourlivingleg,callmeyurnero,1
littelgirll22,milad_ahmdpour,1
hanae1382,mahtissa4,2
golshan_fathi,h0d3r_fa,1
MORTEZANYEBI1,alisaalehi,1
AminDehghani10,_callmegod_,1
HamidSo99950977,dobbynilo,1
sjavadmosavian,ahmadaf38504307,1
justhomayon,duzlikiz,1
AnMTspace,Mohiasdii,1
Apadana2000,pofak121314,1
IRANIAZAD140,saate11shab,1
kahn_ax,denizkizipari,1
__mahdi_12,zahra_sadat_gh,1
__starignore__,Russelbck,1
A_tabriziiiii,poarinio,1
paryy_joon,stysh_mhru,1
hamed38i,mehrrnoosh0906p,1
AtefehNabi96259,totfarangivip,1
Westorjp,kianoosh_r_m,1
blueboyhm7,palawandream,1
mahsaaminii9,mister_saam,1
oneofthemIran,Saeed69234033,1
Ra12510Reyhaneh,Nemesislix,1
Shervin4410,MSRX98,1
_JOUHATSU_,nimania,1
Kamran2065105,psychopathtr3,1
Fahad79598950,UbaidQureshi90,1
crypto_life00,Revolution_R_,1
fereshtehgilaki,Terror_Alarm,1
wehrvb,ERS8118,1
Hamidasadi42390,Plasticartman,1
A_Fatemeh86,20july1986,1
kindgirl2022,AsharqNews,1
central466153,IranianSwastika,1
Amir_h_sam,_Priche_,1
Khorasa2022,SattarSarw51425,1
Jafanrood123,mastaentanha2,1
landcruiseeer,hamongoliyam,1
atrnvln,nahoftre,1
rz_farid,alimalihi,1
ItsUgetsuMurata,Yalniz_99,1
anihahspk,RGujjar_1,1
79IBN_ALii,79IBN_ALii,1
ZaraZiZI2,Farbodahmadi880,1
saye_zkr,Seyedzakani,1
EhsanPanjShery,Roya_glsm,1
HosseinMarouf,sabaazarpeik,1
hxliiii,EditclipI,1
Ghazal_nbb,Vreysuga,1
khavar210,biza_for_ever,1
EhsaniNasimM,AFIntlBrk,1
turkqzii,turkqzii,1
tymowthy,NskOmid,1
holy_madman,meterialtu,1
iranshahriii,vakhasafalghamr,1
mohammadd4456,mitra_khorshid_,1
pinkwineeee,amirhosmhmdi,1
kiramezonokosht,capitanjimbo,1
Negikhanoom,Blackja36801561,1
Drlioness1995,Mohammad_ta2,1
tradetilldie,EbrahimTorabi,1
Hossein22758095,mhrddmrd,1
Mirhossein77,koloonell,1
mollah,IsraelPersian,2
parandshsh,ArashVenoM,1
mohammadmj3,commisser444,1
JM_pensylvani,savalan66,1
m_k_y_72_2010,saate11shab,1
Kiana_Sh4,Kiimbiil,1
curly__m,curly__m,1
Reza7rm,saied369227,1
Taraz70,ShahyarDamavand,1
arashdre21,Timematters3,1
VorojakV,ArashVenoM,1
bachmanity_1,Hamideh6319,1
realygnn,Z19zizi,1
_survivor_r,Frreeddoommmm,1
mulla2813,UsamaNikama,1
DSayfen,alborzzahedi2,1
nozaiieirani,EmilyAmraee,1
Lamarr2010,NskOmid,1
Abbas_firebird,Abbas_firebird,1
__Toughguy,mahyar7_s,1
oldbuckdeer,tajrobe_wiki,1
tinkerbellwm,oOomahdioOo,1
Moein28051,IsraelPersian,1
babygirl_8028,lalirzal,1
aliali2566,29peyman,1
sara_eskoroch,arefeh1992,1
erochodar,hana_looya,1
1derafshbikave,1derafshbikave,1
EmadJafari1996,Milad417,1
_behin_,AminKhoshhal,1
sSaAaAaArRrRrR,HengawO,1
alishomali,Mohammad1Irani,1
KaiDo12,Byunloeyy461,1
Withyoupurple7,iauroram,1
Ebne_noah,IranianForum,1
omomjio,omomjio,2
4liR3zAM,4liR3zAM,1
itsmealireza,Atiramezani3,1
shivaunrivaled,amin_entezary,1
nanmshsjzkm,nanmshsjzkm,1
sad1330,AliEbrahimzade_,1
Sara818697,yacamanlk,1
noruzi_moh15395,IsraelPersian,1
Denver2484,moonsasbt,1
rayatpishe_reza,AdelTalebi,1
AminianNazak,Taheri_Movement,1
ngrsngrs,siavash743,1
validsource20,sepehr_khalaji,1
Hosseinreza19,IranIntl,1
mhdiwannadie,mhdiwannadie,1
thjooje,Real_Kasraaa,1
james_bidin,maroofian_n,1
azadiIRAn222,DamonHet,1
Alirahimi2021,AliEbrahimzade_,1
aliiorg,im_sarahhhhhh,1
rad1789,ardavan_sijani,1
bhnam94304337,rozhina_asiyaei,1
Masoud19691205,mhpoyanfar,1
Danial258502,A4Parsa,1
AmirBahoush,mamanazi20,1
braveboy1141,rasolsk1,1
simin951111,zahra2101,1
TheIImmortall,InfoMansour,1
mo92175528,Tkmaksy1,1
Goftaniha,AsharqNews,1
dkhtrkwche,i_zara_,1
nope__n,nope__n,1
Barakzai1111,TajudenSoroush,1
Sepehr842168,setare_parsa,1
_masious,sa_mahdavizadeh,1
sarouzh22,j_srbaz,1
Armaqan15590272,vahedi_g,1
kodiakNanuk,Elyas_Cile,1
fandogh_bano,solalesadat6676,1
sosmar_khan,NimaValiollah,1
mmshobeiri,hssaremi,1
mosbatboy,SlavFreeSpirit,1
Sheydanshid,Sheydanshid,1
A__Birgani,indypersian,1
Judi_Abot80,sepehr79,1
NahidGhani,maroofian_n,1
Ttcompany2009,0xAminka,1
blueASlV,Litttle_dolphin,1
Khoshgeletoon,majhouliat,1
MinaeiMt,EcoBizDaily,1
saket138,amindlv,1
amir_min1,maroofian_n,1
_glaris_,Goli_joonnn,1
amin18930131,Sajjad_Abedii,1
iva1leria,Slytherin_wise,1
SNR9978,LmzVh,1
mr_odie_,Itisgol,1
IcarusOtono,yugiixL,1
purplee_whalien,Mochiiiii83,1
Leila50Ar,Leila50Ar,1
ALfMINDs,0ldman21,1
masmasi3232,Javan_4,1
PanteaRasouli,FaraGh612,1
Hadisdepech,HGouldian,1
Vesal2929,zamaneh01,1
MarjanLaghaee,MarjanLaghaee,1
______Afla_toun,MeliCa_tc,1
Mtorabi19,BanwHmydh,1
rrghm2003,dustjadid,1
amuye_pir,kaboos021,1
mo_s_k,Nastoh_mf,1
SpendjaadVehan,SpendjaadVehan,1
panaaaaaaah,panaaaaaaah,1
Reza7rm,ahmad11341234,1
noooo2ir,PahlaviReza,1
SaeidPlc300,venil97,1
naiamade,caaanaaasn,1
Saman15216939,narin65581304,1
ScarFace2582,vahid__bahman,1
Yazdanaliz,_babyybearr,1
sad1330,masalchay,1
imagozar,niloosalimi,1
mn_injm,panaaaaaaah,1
AmooPapador,4liR3zAM,1
Littlemoon__x,monasfhni,1
majidion1,mhrezaa2c,1
Mos41906Rajabi,inotherhand,1
MaryAbtArt,alexAshian,1
AbbasJ110,ImranRiazKhan,1
mojtabasheivary,james_bidin,1
horyeh19212,oOomahdioOo,1
LayIran,LayIran,1
mzr_313y,shahideh_313_h,1
mh8h,mh8h,1
RezaS49,PahlaviReza,1
hmahm53,hmahm53,1
armin_hk01,Litttle_dolphin,1
likethemoon1998,shiriniforush,1
mansor_gh8402,mansor_gh8402,1
Dehatiiii,khodamam_El,1
AliSnadaf,e_Hoseini_eh2,1
kankaaaash,amiirnouri,1
nabat_77,nabat_77,2
nafise1370,zahradavoodi561,1
AghajaniT,MRSENARIO979776,1
Bahar41201731,ali_shahbazy,1
realtornice,PahlaviReza,1
yespariam,mr_martinellyy,1
falahaty_hamid,kayvanabbassi,1
narangikhooni,azma1990,1
63Ariya,iranema2017,1
heispatriot,monoasis,1
_electronito_,ParisAYazdI_,1
sameoww_,bettercallzasha,1
ghadamyari_ir,hichckak,1
siv_p2,State_SCA,1
carlos_menger,carlos_menger,2
mahesargardan,Mamayegaa,1
itsjust_Sadaf,Mahdiyh80495532,1
Alireza91446058,Mina02066504,1
aria4311,aria4311,1
Abbas__j1378,par_sheen,1
VidaSarafraz,JC_Constantine,1
Dr_sajjad110,Seyedmohamad74,1
AryoTak,PahlaviReza,1
iimYasiinn,J1407b3q,1
zor_abad,GhaffariPoorang,1
MadPahlevoon1,mj_shaker_arani,1
callsipher,mohammad_jjshsb,1
Tanasoli_Return,NR2OH,1
chinvad19020,BehrouzNiko,1
sepidehia,Kasrakarimi3,1
mahanitk,NAZIIlow,1
Aqaryus1,ashrafmakhloogh,1
sphroooh,insanexoxx,1
_Mahdiyar313,ben8128,1
imMohamad,parvaanerj,1
Azi_Perspolisi,alikarimi_ak8,1
sofu_ckinggood,ehsankhodaparst,1
Iron_photograph,shimballa,1
PedramMiyar,Foroutan_ir,1
Reza68_313,m_abedkarimi,1
Amu_Mostafa,KhatibiOfficial,1
tou_figh,Abdullzari75241,1
Asin_cera,sniper_168,1
RezaArzeh1,ZvizdaKook,1
fateme13_13,AmirHossein9229,1
z1350324,saminshokri4,1
Mehdi76m,Mehdi76m,1
HKH00O00,zizigolo_75,1
Plentyofchoices,Raesi_ir,1
mehmahan,Real_Kasraaa,1
2ndravanparish,IranianPlateau,1
samira_313_,AryaYounesi,1
antileftool,1000pa2,1
hamy_76,ali_bitarafan5,1
HadiMostafapour,pilevar,1
rass_1988,Raghsa_r,1
ahmadjafari100,HananyaPersian,1
fIbZC6AI2j6913,myfootkinwife,1
Eshghi22648951,HSarrafpour,1
Sam50814430,abtin0,1
irani_mahan,R0tterdamer,1
selemene_1999,75_eli__,1
__DAVOUD__,whoRUkoskhol,1
romaysa0_0,saiiah8813,1
mamalinkov,Pvibeswithme,1
DrAzar6,ArashkRajabpour,1
tara23er,MatinKazemiii,1
hirbodhuman,SilenceVoice00,1
___P___R___,___P___R___,3
Lopichi_Tanha,s_a_b_a61,1
zaboonafahm,Illusionphotog4,1
zahra_n_za,Koamiin,1
Shahrokh_gh2022,DARIUSH_NICOLAS,1
rahainbloom,sadeyedaris,1
fuKoXRVsZBbddTn,bbcpersian,1
whoknowsroro,parianozariii,1
p_khorshid_mah,mohamadho3einam,1
biz_gol,callmecurlygirl,1
omeali110,dsh_ab49340,1
Hinamehwish6,Hina_Khanzadi2,1
catgiirl23,darakarimiorg,1
biofteroot,Sana_sebt,1
MissNadia78,Saeed1991apr,1
jozefdastqeib,socrates__470,1
5Xunqi94,HaniB71783,1
hosein_Avini,zeynab19954,1
CharlotteLVF,Abdul_Majid33,1
blackpaynoo,yus_mun,1
Lia_OoOoOo95,ieomidi,1
INiicki_,Medistent,1
Mojtaba_Chelsea,TimoWerner_dl,1
rezo1057,Dieffenba7734,1
SoudehModaress,i_am_mahdieh_,1
QNoorzad,AnoushSB,1
jalall_22,mohammadd4456,1
nmd1234rrrr,S4N43B,1
showcheragh,springtheb,1
vesaltaher1414,Taheri_Movement,2
NoCrossNoCresce,MaryamAsad94160,1
ye_divoone_,idshahriar,1
hamid38447894,Hemmati_ir,1
Deordinaryone,faezesh2,1
ahmadrezafn,neggbaby,1
essentialwordst,Mitrabi,1
Kuuurosh,Moritizar,1
asmr9595amir,shahrak_ekbatan,1
maysarezaei,Taheri_Movement,1
sinaserati1479,hosseinkhedmati,1
filsoofimusic,Zeidabadi_Ahmad,1
Negneg5788,raminnnn,1
shakiba_twt,ftmtoosi135,1
sciencelibert,Wander1Mystical,1
SadatHashemi11,Answer2History2,1
khaabgardaan,MamSfrm,1
imrezitser,iliaamini890,1
maryam38825265,wlfnobody,1
parsa1506,MhmdRnany,1
m_kwthr,shahira60210003,1
sarmaii_,imkdpr,1
Rana_mls0,sara6ff2,1
BesmillahTaban,AfgFreedomAFF,1
banooyeab,pluviophile126,1
elahi_mustafa,ehsankni92,1
EhsanBodaghi,AsalDadashloo,1
Valimamnoon,mngwk1,1
Soheil2N,parsabashe,1
melliiiika,AlizTik,1
AAnastassiiaa,allaboutaidin,1
rezayee_rahman,RohullR,1
Mboybnd,atenaa82,1
faeze_ys77,no_namie_,1
chikichikiiland,loreghayour,1
zhalec,Elyas_Cile,1
Sogolismenow,Sogolismenow,1
sharagim_zand,AliAshtari9,1
pikmaster2020,samane_salehi,1
Emzitigaa,sepidehia,1
AbdulWahab50019,AbdulWahab50019,1
mohammad_kho199,moaming22,1
Daniyial2,cien220022,1
FoorFreeIran,Nima__Nikjoo,1
hamidbeest,TheRealYegane,1
AminFakoor,zahralbmeI,1
Mahsa_Heza,Awista_parsi,1
TalaFatemi,mahdihajipour,1
Amirniistam,iKamrany,1
Ebititan,SooNaaz,1
Negneg5788,ilauviah,1
MohammadB27,kian1024,1
vahid1313,soroosh_zaman,1
D0khtarak,lilith_st6,1
thisispooya,bmarziii,1
ferferivezvezi,pizza_facey,1
MaysamSedigh,EmilyAmraee,1
Satanologie666,Nader793242,1
23mmd1987,ElhamOmidvari,1
MostafaIslami,tanha1358,1
Kimi_Adam_Goriz,Mash_ghasem_am,1
morad_kalokh2,amirivxx,1
atenamoradii,harishater,1
tabushekan,90nabish,1
Fishcat20791,kashkool_khan,1
Rastegarj567,molavi_peyman,1
ebi7737,arrzaas,1
reziserect,sarapanahh,1
SAG51214,Pti780,1
avasliii,ElenaAsadi86,1
Yeganeh07386224,Faghatamin,1
IaminMoud,R_S_K_E,1
sajjadkaramlu,MohamadAnsari38,1
melikatorkamani,callmesanazl,1
FarazToday,Madaregolhaa,1
lord__blade,Sogolismenow,1
sharqiye_qamgin,sharqiye_qamgin,1
Reglage7,sharqi_e_qamgin,1
padeshahemah,minoo77s,1
ghsara1994,raminnnn,1
mehdiebim,GHAZALE_Tkl,1
the_0un,THE_SHIN0BI,1
MmdRezammm,googerdd,1
rinathebooky,niniiswatching2,1
AmiraliGtz,CallMeHaniiiii,1
Davoud196834,syedkomaill,1
mp65648787,yaseshab1995,1
Jaam68Mir,HananyaPersian,1
raghsan,poceansblue,1
TwabJan509,Afghanistan_NS,1
Farazjahanmane1,Saboorane,1
sedaesokot,Behnam1310,1
abolm85,_tommymaxy,1
assassi69923808,Sashtyani,1
alisan655,xariblbl268293,1
borhaneghate_m,DavariAbdolreza,1
NoOne3531,IrTimes,1
mehdi93518334,mhdyzr2,1
ns_3100,maryam_davod,1
Mftimuein,yousafzailaiba3,1
Newcruella_,Shab1943,1
starlouis_28,LOUIESTREAM,3
R0tterdamer,goudarzy,1
Rfe_hsr,sh4972012,1
rasoulfath66056,IranIntl,1
b2Kaveh,AsbeAtash45,1
nazhgol,Muna_ahmadi,1
thePhoenix85361,esmailpour_m,1
HabbeKhanoom,savageaztek,1
aroozbeh,FardadFarahzad,1
hereisvito,_nonfigurativ_,1
rcabk3,Me_Hamed_Myself,1
Hosna_Valaei,Mr_soltaniii,1
bobycloud,A_Mthri,1
FXMNDLSN,Rebessaa,1
NIKAMAHSASARINA,mahsa_piraei,1
eliwe_,mohammad_kho199,1
sarmadi_design,PahlaviReza,1
sassykittten,lalirzal,1
Radinium93,Spring_Adn,1
TesseractOwner,zizinanigooloo,1
nasi_mev,RasuoliAram,1
alireza_00_7,Unforgiven1371,1
glonesa,soltani_maa,1
mohammed__qa,Zaarishkaa,1
great_vasiliza,taasianam,1
n1988_n1989,sarzaeim,1
247_RM,joonixw,1
deltangehosein1,Amirr1217,1
SalomeSeyednia,ElhamOmidvari,1
ashk_shadi,humanrights_az,1
tajikam_man,KabirNoori18,1
partigiano47,PersianGW,1
VncentoCavanagh,tribunpluse,1
b_deqan,b_deqan,1
SepidBamda98393,IranianForum,1
phonix541,Me_Unstoppable2,1
hatef_azizi,namira713,1
j_momeniiii,masoudenghelabi,1
roozshah,Soheil2N,1
cheshme_belqhis,_maah_banoo_,1
moha75mad,Ifyousaidwhoiam,1
freedomfight981,pouriazeraati,1
freedoom2021,HKH00O00,1
aromyaa,kimiasha_,1
AtashAtash83475,IranIntl,1
injum81,Aiizay_Haya,1
AliAsgharAnsa14,shayanss6,1
farhab39,n_p_nima,1
shmoosbey,Phoenix_LTR,1
TAHARIIGI,amirrezmd,1
_fairy_like,hourIyhoroscope,1
Maher74181,newt_byrnison,1
mehdimirzaei55,nargesahmadnia1,1
APk711,talwasa121212,1
payiiz4709,bozorgvar1617,1
gohareshghi,dadban4,1
Smartma69270732,sadrafarahmand,1
MozhganB01,angeloinchina,1
WilliamW_Iran,ashobshahr,1
Amuerfan,MamSfrm,1
yegi38951807,sayeshab404,1
DGolzad53219,ehsan_soltani,1
YalchinRzz,yousef__youse,1
JabbariiMohsen,mhcz_313,1
yintankg,AliVesali,1
tehradofficial,sepideh62331806,1
MAXIMUM1601,maroofian_n,1
NIMA_NaeimShahi,black_north95,1
Iwillbornagain,yacamanlk,1
Jaber_Velayat3,ziibayekofte,1
yas_ys12,edkemper2991,1
_KamyaB787,qufalim,1
A_Qizilulduz,Arash17533229,1
hdisrhspri,Nahal04946989,1
GHOBAD6080,DJ_PashmackZzz,1
alireza_shn27,Mhdkrd2,1
pishiesmom,SINAM_AL,1
SMoHaMMaDM777,anahyta17,1
ynmjen,lshtist,1
__X_Y_Z,sin_sadat61,1
satggin,PahlaviReza,1
Soodaroo,SedayeShahrivar,1
haumea33,90nabish,1
mehraniran2023,Elyas_Cile,1
_firefly_99_,code____11,1
SonOfHabil,manullinas,1
RoseNeverHood,ejmalrai,1
janejahan123,papartook,1
Danphenomenon,hedie_alimohmdi,1
sinadocs,sinadocs,1
meeytii,mereckles_,1
Zahraaa2212,neko_1383_2,1
masoomane,Tanvire12,1
8o45daqiqe,The_Pesar,1
iamarmy06137,hasanahmadi0731,1
DeLamassu,parsa_r_,1
enssish,aboutdeli1,1
A_tabriziiiii,Atinose,1
Arte_s_MonaLisa,meteora0114,1
Z60497Zahid,frhd55799423,2
BadeMokhalef,zhakandeh,2
Ailiniiiiiii,ooommmiiidd,1
Max_payne_1986,mmmmm234500,1
DaV_t_4451834,khodesamsam,1
sfcdfb5,tarane_137958,1
Mahdi04418916,mirza_mahyar,1
Damoon1644,siamak_heydary,1
dawod44301,simamoradb51053,1
miladmsv,Its_Maybe_Abbas,1
maryam_goli2003,rmshxxx,1
shabnamniki,PahlaviReza,2
Hichkarre,zahra_baqueri,1
ArshiyaIsAlive,jimy1__neutron,1
samalam2023,lunkno_ownl,1
GggHhh43672427,Hossein22758095,1
hkazemzadeh86,n_aghpour,1
PanteaPeyvandi,emilykschrader,1
aksntyzyast,BlueJakk,1
MARYAMAFSHAR100,TahsinZhaleh,1
cinarashidi,heyimchondi,1
Irani12_kian,IMbeatreas,1
Rezanasiri62,nemidanam1994,1
kikifingil,maryam_mhhtm,1
oceanmillerr,btsel_1d,1
glaviterino,NR2OH,1
HastamMonik,RasuoliAram,1
Attar_Atr,nezammousavi,1
ShAbAni_M1,normahta,1
mannistamm,raha_ghahremani,1
teodorbagbell,Rzkhm11133,1
tofan_5219,somy574583,1
Nahankhane321,HichkasOfficial,1
fahimehhs,fahimehhs,1
SinaBag82964620,AbbasiTesa81704,1
NiniYmz,ImranRiazKhan,1
Medisaaaam,kakaoo_oo,1
NextPinkFloyd,Archangel7774,1
amirhossin1400,kazembozar,1
Jaber_Velayat3,fakkeh_6530,1
somayehsafi257,mahdavi__17,1
SunflowerZahra,leila1751,1
behroozkambiz,V_Mehdi10,1
7n6qw4mrkb,Fake_Account333,1
Iranianlion01,PahlaviReza,1
phantomgod10,PahlaviReza,1
Kasraahmadi13,borhaneghate_m,1
JavadSafaei68,Moqimi,1
saeedgh93,sepideh9686,1
isinaminjahsl,amirreza_daemi,1
zargolpastry,fanofcatz,1
Shumaiilla,Ksaraikstan,1
callme_mobin,Partokiya,1
amirta_6075,BamaramSaeed,1
narges205,SaberSeverus,1
mehmaanam,HajarRazmpa,1
lilia_Free_Iran,PahlaviReza,1
fandowghi,b_nodrat,1
mmasiha,mmasiha,1
aboliam33,king_eris252,1
NHdiyeh,NazaninShariati,1
rara__co,Sheila75690425,1
kopolonesa,hamidjanipour,1
MHozeh,bobycloud,1
NasirFa25446463,assi_gilani,1
adnankhalid455,ImranRiazKhan,1
Lucky_1368,khanm_mym,1
Gulkhangi,Khan1Heera,1
Pitipoot,dadban4,1
ManaaHastamm,thesittinggav,1
ellwilltell,haghiri_codes,1
SorooshShahria1,WitsEnd48,1
S_Sunlight2023,Omari55555,1
S24209,_PouriaFatemi,1
mamantaha158849,mey_3Am,1
tthemina,tthemina,1
